                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2789,                 3.6418,                 1.2725,                0.00816,                0.54242,                0.07397,                0.05977,                0.62887,                 3.2852,                0.91846,                 0.0919,                 0.0009,                 0.0009
                      1,                0.70128,                 2.9253,                0.97829,                0.00818,                 0.5463,                0.19443,                0.17302,                0.51327,                  3.056,                0.82681,               0.082862,              0.0018624,              0.0018624
                      2,                0.59183,                 1.6069,                0.89855,                0.96469,                0.20404,                0.47816,                 0.3998,                0.58338,                 2.4084,                 0.8344,               0.073785,              0.0027852,              0.0027852
                      3,                0.64167,                 1.2348,                0.88281,                0.96571,                0.36855,                0.49944,                0.43574,                0.51848,                 2.1897,                0.81015,               0.064668,              0.0036683,              0.0036683
                      4,                0.64272,                 1.1389,                0.88638,                0.99286,                0.26739,                0.66011,                 0.5743,                0.54743,                 2.2579,                0.81244,               0.055512,              0.0045119,              0.0045119
                      5,                0.65524,                 1.0836,                0.89566,                0.99391,                0.31418,                0.78089,                0.57979,                0.72454,                 2.1296,                0.83735,               0.046316,              0.0053159,              0.0053159
                      6,                0.72247,                0.99483,                0.90145,                0.99435,                0.33939,                0.73434,                0.64013,                0.57287,                 2.0671,                0.82293,                0.03708,              0.0060803,              0.0060803
                      7,                0.68271,                 1.0104,                0.89296,                0.83679,                0.42941,                 0.7944,                0.68816,                0.58645,                 1.8371,                0.82571,               0.027805,              0.0068051,              0.0068051
                      8,                 0.7079,                 0.9777,                0.88745,                0.93028,                0.56065,                0.87596,                0.68525,                0.73842,                  1.607,                0.85783,                0.01849,              0.0074902,              0.0074902
                      9,                0.77449,                0.97584,                0.90374,                0.83527,                0.55211,                0.86075,                0.69711,                0.66513,                 1.3884,                 0.8271,              0.0091358,              0.0081358,              0.0081358
                     10,                0.72068,                0.94443,                0.90469,                0.87133,                0.69371,                0.89871,                0.76651,                0.56697,                 1.2744,                0.82249,                0.00802,                0.00802,                0.00802
                     11,                0.69335,                0.92356,                0.89582,                0.91024,                0.80931,                0.90996,                0.75452,                0.55973,                 1.1359,                0.81191,                0.00802,                0.00802,                0.00802
                     12,                0.65828,                0.86308,                 0.8937,                 0.8771,                0.80771,                0.88942,                0.76505,                0.49728,                 1.0698,                0.80503,               0.007822,               0.007822,               0.007822
                     13,                0.63376,                0.85125,                0.87577,                0.90291,                0.86792,                0.92536,                0.76214,                0.57735,                0.80439,                0.81599,               0.007624,               0.007624,               0.007624
                     14,                0.62358,                0.82241,                0.88622,                0.87349,                0.89436,                 0.9272,                0.75231,                 0.5601,                0.72605,                0.81395,               0.007426,               0.007426,               0.007426
                     15,                0.61798,                0.82142,                0.88241,                 0.8964,                0.89643,                0.93726,                0.78106,                0.55271,                0.83126,                0.80977,               0.007228,               0.007228,               0.007228
                     16,                0.58834,                0.81503,                 0.8815,                0.87572,                0.94272,                 0.9383,                0.79826,                0.50782,                0.75346,                0.79687,                0.00703,                0.00703,                0.00703
                     17,                 0.5977,                0.78381,                0.86429,                0.87552,                0.91859,                0.92639,                0.74573,                0.60262,                0.73369,                0.81125,               0.006832,               0.006832,               0.006832
                     18,                 0.5802,                0.77819,                0.87996,                0.88202,                0.89655,                0.93078,                0.78789,                0.52362,                0.70406,                0.80857,               0.006634,               0.006634,               0.006634
                     19,                0.54748,                0.76918,                0.88055,                0.89784,                0.92232,                0.93225,                0.81151,                0.46965,                0.69682,                0.79745,               0.006436,               0.006436,               0.006436
                     20,                 0.5659,                0.75408,                0.86859,                0.90575,                0.90462,                0.92788,                0.82671,                 0.4585,                 0.7454,                0.79819,               0.006238,               0.006238,               0.006238
                     21,                0.54049,                0.71431,                0.86834,                0.89804,                0.90834,                0.93535,                0.79234,                0.45056,                0.64845,                0.79024,                0.00604,                0.00604,                0.00604
                     22,                0.53313,                0.68414,                0.85736,                0.87862,                0.93346,                0.94236,                0.81635,                0.43017,                 0.6428,                0.78813,               0.005842,               0.005842,               0.005842
                     23,                 0.5285,                0.70569,                0.86056,                0.91151,                0.91207,                0.94045,                0.80272,                0.43999,                 0.6264,                0.78631,               0.005644,               0.005644,               0.005644
                     24,                0.52142,                0.70118,                0.86135,                0.93454,                0.91183,                 0.9535,                0.81492,                0.45818,                0.61351,                0.78752,               0.005446,               0.005446,               0.005446
                     25,                0.50219,                 0.6971,                0.85975,                0.93093,                0.90633,                0.95196,                0.84516,                0.39583,                0.61447,                0.78283,               0.005248,               0.005248,               0.005248
                     26,                0.48748,                0.67055,                0.86579,                0.89015,                  0.945,                   0.94,                0.83235,                0.39741,                0.60565,                0.78313,                0.00505,                0.00505,                0.00505
                     27,                0.47039,                0.63395,                0.85206,                0.92433,                0.89369,                0.94293,                0.84632,                 0.3966,                0.60857,                0.77856,               0.004852,               0.004852,               0.004852
                     28,                0.48101,                0.63781,                0.85883,                0.91845,                0.93084,                0.95172,                0.83742,                0.42895,                0.59828,                0.77931,               0.004654,               0.004654,               0.004654
                     29,                0.44155,                0.63287,                0.84878,                0.93171,                0.92105,                0.95623,                0.86503,                  0.377,                0.58669,                0.77889,               0.004456,               0.004456,               0.004456
                     30,                0.45506,                0.65021,                0.85179,                0.91445,                0.91583,                 0.9546,                0.87714,                0.37359,                 0.5618,                0.77932,               0.004258,               0.004258,               0.004258
                     31,                0.44144,                0.62573,                 0.8401,                0.95858,                0.89158,                0.95671,                0.85849,                0.36519,                0.56015,                0.77971,                0.00406,                0.00406,                0.00406
                     32,                0.43785,                0.60691,                0.84903,                0.95477,                0.88394,                0.95472,                0.86604,                0.35225,                0.56935,                0.77953,               0.003862,               0.003862,               0.003862
                     33,                0.42788,                0.58496,                0.84626,                0.93535,                0.88739,                0.95906,                0.87999,                 0.3221,                 0.5198,                  0.775,               0.003664,               0.003664,               0.003664
                     34,                 0.4098,                0.58513,                0.84864,                0.89328,                0.94277,                0.94352,                0.87785,                 0.3255,                0.53218,                0.77693,               0.003466,               0.003466,               0.003466
                     35,                0.39673,                0.58094,                0.83351,                0.93373,                 0.9029,                0.95988,                0.88123,                0.30741,                0.50257,                0.77431,               0.003268,               0.003268,               0.003268
                     36,                0.40277,                0.57248,                0.84973,                0.93224,                0.89944,                 0.9575,                0.87831,                0.31076,                0.50279,                0.77461,                0.00307,                0.00307,                0.00307
                     37,                  0.406,                0.57379,                0.84167,                0.89519,                0.94185,                0.95753,                0.89126,                0.29991,                 0.4865,                0.77188,               0.002872,               0.002872,               0.002872
                     38,                0.40143,                0.54346,                0.83395,                0.90031,                0.95158,                0.95932,                0.88835,                0.31757,                0.50429,                0.77201,               0.002674,               0.002674,               0.002674
                     39,                0.38361,                0.55565,                0.83843,                0.89452,                0.93772,                0.95139,                0.88237,                0.30718,                0.51907,                0.77337,               0.002476,               0.002476,               0.002476
                     40,                0.37656,                0.55798,                0.83074,                0.89063,                0.93654,                0.95424,                0.88318,                0.30027,                0.51481,                0.77197,               0.002278,               0.002278,               0.002278
                     41,                0.37715,                 0.5476,                0.83163,                0.92186,                0.91258,                 0.9628,                0.91002,                0.27287,                0.47245,                 0.7685,                0.00208,                0.00208,                0.00208
                     42,                0.36066,                0.52792,                0.83853,                 0.8821,                0.94721,                 0.9607,                0.90737,                0.27512,                0.47047,                0.76806,               0.001882,               0.001882,               0.001882
                     43,                0.35613,                0.53101,                0.82352,                0.90148,                0.94535,                0.95654,                0.89183,                 0.2823,                0.48067,                0.76919,               0.001684,               0.001684,               0.001684
                     44,                0.35218,                0.50724,                0.82365,                0.89673,                0.95871,                0.95811,                0.89752,                0.27072,                0.47012,                0.76801,               0.001486,               0.001486,               0.001486
                     45,                0.35737,                0.51142,                0.83007,                0.89801,                0.95472,                0.96136,                0.90356,                0.26346,                0.46717,                0.76753,               0.001288,               0.001288,               0.001288
                     46,                0.34501,                0.50711,                0.82438,                0.91088,                0.94916,                0.96262,                0.90512,                 0.2664,                0.46516,                0.76651,                0.00109,                0.00109,                0.00109
                     47,                0.33733,                0.49858,                0.82503,                0.93787,                0.91364,                 0.9629,                0.91298,                0.25893,                0.45339,                0.76548,               0.000892,               0.000892,               0.000892
                     48,                0.34139,                0.49224,                0.82186,                0.89418,                0.95289,                0.96121,                0.90994,                0.25269,                0.45278,                0.76452,               0.000694,               0.000694,               0.000694
                     49,                0.32247,                0.49312,                0.82525,                0.89842,                0.96472,                0.96057,                0.91376,                0.25706,                0.45307,                0.76493,               0.000496,               0.000496,               0.000496
